frpm_perc,act_perc_above_21,sat_perc_read_write_benchmark,sat_perc_math_benchmark,sat_perc_both_benchmarks,perc_sat_takers,perc_act_takers
0.59,0.6341,0.775,0.5875,0.55,0.07352941176470588,0.03768382352941176
0.946,0.060599999999999994,0.39130000000000004,0.1522,0.1522,0.07290015847860538,0.05229793977812995
0.741,0.1613,0.5455,0.3182,0.2727,0.1073170731707317,0.15121951219512195
0.784,0.2571,0.67,0.37,0.35,0.05512679162072767,0.057883131201764054
0.955,0.24239999999999998,0.451,0.27449999999999997,0.2157,0.05543478260869565,0.035869565217391305
0.701,0.42619999999999997,0.6219,0.375,0.34380000000000005,0.1031592520954223,0.019664732430689877
0.773,,0.5915,0.3873,0.34509999999999996,0.07928531546621999,0.006700167504187605
0.899,0.0968,0.47619999999999996,0.07139999999999999,0.059500000000000004,0.12518628912071536,0.046199701937406856
0.6509999999999999,0.5405,0.591,0.2586,0.248,0.08989563567362428,0.008776091081593928
0.762,0.47369999999999995,0.6470999999999999,0.3725,0.3627,0.06675392670157068,0.024869109947643978
0.971,0.08539999999999999,0.3333,0.1594,0.1304,0.0798611111111111,0.09490740740740741
0.929,0.0,0.3704,0.0,0.0,0.05065666041275797,0.03564727954971857
0.406,,0.9286,0.5357,0.5357,0.07329842931937172,0.03664921465968586
0.7879999999999999,0.14,0.46340000000000003,0.2439,0.2195,0.07961165048543689,0.0970873786407767
0.87,,0.5088,0.21050000000000002,0.21050000000000002,0.0976027397260274,0.0136986301369863
0.846,0.08259999999999999,0.439,0.10980000000000001,0.09759999999999999,0.0746132848043676,0.11010009099181074
0.573,,0.5185,0.22219999999999998,0.1852,0.05793991416309013,0.01072961373390558
0.636,0.4595,0.875,0.4375,0.4375,0.043835616438356165,0.050684931506849315
0.631,0.23329999999999998,0.52,0.2,0.16,0.08620689655172414,0.10344827586206896
0.278,,0.8667,0.8,0.6667000000000001,0.07731958762886598,0.0
0.361,0.9,0.9309999999999999,0.6897,0.6897,0.061375661375661375,0.042328042328042326
0.41100000000000003,,0.9143000000000001,0.7143,0.6857,0.0671785028790787,0.01727447216890595
0.353,,0.7726999999999999,0.7273000000000001,0.6818000000000001,0.11578947368421053,0.031578947368421054
0.504,0.5,0.7321,0.5179,0.48210000000000003,0.06534422403733955,0.021003500583430573
0.565,0.6957,0.8276,0.569,0.5517,0.050966608084358524,0.020210896309314587
0.758,0.2957,0.6565000000000001,0.2901,0.2824,0.07396950875211744,0.06493506493506493
0.831,0.3889,0.7062,0.5361,0.46909999999999996,0.06400527878587925,0.029693170570768722
0.789,0.47369999999999995,0.5185,0.22219999999999998,0.1852,0.07605633802816901,0.05352112676056338
0.72,0.2759,0.6884999999999999,0.4153,0.3934,0.08656575212866603,0.05487228003784295
0.7659999999999999,0.4643,0.7033,0.4396,0.41759999999999997,0.04916261480280929,0.030253916801728797
0.722,0.3103,0.7843000000000001,0.3725,0.3529,0.09659090909090909,0.054924242424242424
0.455,0.5385,0.8462000000000001,0.4359,0.4359,0.05972434915773354,0.04977029096477795
0.9420000000000001,,0.31579999999999997,0.15789999999999998,0.10529999999999999,0.1,0.031578947368421054
0.948,,0.0435,0.0435,0.0,0.06628242074927954,0.0
0.446,0.7037,0.7736,0.5472,0.5094,0.09090909090909091,0.04631217838765009
