school_code,county_name,district_name,school_name,enrollment,frpm_count,frpm_perc,num_act_takers,act_avg_score_read,act_avg_score_eng,act_avg_score_math,act_avg_score_sci,act_num_above_21,act_perc_above_21,num_sat_takers,sat_num_read_write_benchmark,sat_perc_read_write_benchmark,sat_num_math_benchmark,sat_perc_math_benchmark,sat_total_num_both_benchmarks,sat_perc_both_benchmarks
113381,Orange,Capistrano Unified,San Juan Hills High,2671,754,0.282,199.0,26.0,26.0,25.0,25.0,158.0,0.794,204.0,184.0,0.902,142.0,0.6960999999999999,139.0,0.6814
3030210,Orange,Capistrano Unified,Capistrano Valley High,2083,574,0.276,151.0,26.0,27.0,26.0,25.0,129.0,0.8543000000000001,153.0,142.0,0.9281,120.0,0.7843000000000001,117.0,0.7646999999999999
3030574,Orange,Capistrano Unified,Aliso Niguel High,3043,567,0.18600000000000003,286.0,26.0,27.0,27.0,26.0,254.0,0.8881,235.0,220.0,0.9362,199.0,0.8468000000000001,195.0,0.8298000000000001
3030756,Orange,Capistrano Unified,Tesoro High,2514,200,0.08,259.0,26.0,26.0,25.0,25.0,209.0,0.8069,250.0,237.0,0.948,192.0,0.768,189.0,0.7559999999999999
3036001,Orange,Capistrano Unified,San Clemente High,3012,780,0.259,310.0,26.0,26.0,25.0,25.0,264.0,0.8515999999999999,234.0,216.0,0.9231,190.0,0.812,187.0,0.7990999999999999
3038569,Orange,Capistrano Unified,Dana Hills High,2397,634,0.264,213.0,27.0,27.0,26.0,26.0,193.0,0.9061,172.0,148.0,0.8604999999999999,112.0,0.6512,108.0,0.6279
3030855,Orange,Fullerton Joint Union High,Buena Park High,1937,1495,0.772,35.0,22.0,20.0,21.0,22.0,18.0,0.5143,195.0,126.0,0.6462,74.0,0.3795,69.0,0.3538
3032505,Orange,Fullerton Joint Union High,Fullerton Union High,1979,1012,0.511,59.0,24.0,24.0,23.0,23.0,42.0,0.7119,152.0,118.0,0.7763,84.0,0.5526,78.0,0.5132
3033362,Orange,Fullerton Joint Union High,La Habra High,2179,1074,0.493,59.0,24.0,23.0,22.0,22.0,39.0,0.6609999999999999,172.0,133.0,0.7733,95.0,0.5523,87.0,0.5058
3037090,Orange,Fullerton Joint Union High,Sonora High,1813,922,0.509,68.0,24.0,23.0,23.0,23.0,51.0,0.75,163.0,140.0,0.8589,106.0,0.6503,103.0,0.6319
3037348,Orange,Fullerton Joint Union High,Sunny Hills High,2304,809,0.35100000000000003,119.0,26.0,27.0,27.0,26.0,99.0,0.8319,247.0,223.0,0.9028,186.0,0.753,183.0,0.7409
3037496,Orange,Fullerton Joint Union High,Troy High,2614,759,0.29,178.0,30.0,30.0,30.0,29.0,170.0,0.9551000000000001,286.0,273.0,0.9545,257.0,0.8986,254.0,0.8881
3030434,Orange,Garden Grove Unified,Bolsa Grande High,1961,1398,0.713,99.0,21.0,21.0,21.0,20.0,47.0,0.4747,245.0,185.0,0.7551000000000001,142.0,0.5796,130.0,0.5306000000000001
3032752,Orange,Garden Grove Unified,Garden Grove High,2284,1482,0.649,77.0,24.0,24.0,22.0,23.0,55.0,0.7143,215.0,175.0,0.8140000000000001,131.0,0.6093,127.0,0.5907
3033578,Orange,Garden Grove Unified,La Quinta High,2133,1326,0.622,199.0,24.0,25.0,25.0,23.0,159.0,0.799,343.0,299.0,0.8717,277.0,0.8076000000000001,261.0,0.7609
3033933,Orange,Garden Grove Unified,Los Amigos High,1711,1418,0.8290000000000001,163.0,18.0,17.0,18.0,18.0,41.0,0.2515,179.0,106.0,0.5922,57.0,0.3184,54.0,0.3017
3035581,Orange,Garden Grove Unified,Pacifica High,1643,593,0.361,36.0,24.0,24.0,25.0,24.0,28.0,0.7778,173.0,154.0,0.8902,120.0,0.6936,117.0,0.6762999999999999
3035706,Orange,Garden Grove Unified,Rancho Alamitos High,1792,1283,0.716,12.0,,,,,,,173.0,126.0,0.7283,82.0,0.474,77.0,0.4451
3036555,Orange,Garden Grove Unified,Santiago High,2020,1620,0.802,29.0,18.0,18.0,20.0,20.0,10.0,0.3448,246.0,140.0,0.5690999999999999,80.0,0.32520000000000004,68.0,0.2764
3030145,Orange,Huntington Beach Union High,Ocean View High,1263,731,0.579,19.0,23.0,23.0,22.0,24.0,12.0,0.6315999999999999,92.0,66.0,0.7173999999999999,39.0,0.4239,37.0,0.4022
3031895,Orange,Huntington Beach Union High,Edison High,2440,385,0.158,125.0,25.0,25.0,24.0,25.0,101.0,0.8079999999999999,179.0,162.0,0.905,138.0,0.7709,134.0,0.7486
3032158,Orange,Huntington Beach Union High,Fountain Valley High,3531,1132,0.321,102.0,27.0,26.0,26.0,26.0,87.0,0.8529000000000001,335.0,307.0,0.9164,283.0,0.8448,270.0,0.8059999999999999
3032943,Orange,Huntington Beach Union High,Huntington Beach High,2983,543,0.182,205.0,25.0,24.0,24.0,23.0,159.0,0.7756000000000001,270.0,251.0,0.9296,203.0,0.7519,202.0,0.7481
3034410,Orange,Huntington Beach Union High,Marina High,2443,675,0.276,84.0,27.0,26.0,26.0,25.0,69.0,0.8214,196.0,180.0,0.9184,152.0,0.7755,148.0,0.7551000000000001
3038445,Orange,Huntington Beach Union High,Westminster High,2742,2243,0.818,48.0,22.0,21.0,23.0,22.0,30.0,0.625,231.0,172.0,0.7445999999999999,154.0,0.6667000000000001,136.0,0.5887
3033206,Orange,Laguna Beach Unified,Laguna Beach High,1068,117,0.11,165.0,26.0,27.0,26.0,26.0,149.0,0.903,57.0,55.0,0.9649,45.0,0.7895,45.0,0.7895
111666,Orange,Newport-Mesa Unified,Early College High,184,114,0.62,38.0,24.0,24.0,23.0,23.0,24.0,0.6315999999999999,15.0,12.0,0.8,8.0,0.5333,8.0,0.5333
3031697,Orange,Newport-Mesa Unified,Corona del Mar High,2454,228,0.09300000000000001,300.0,27.0,28.0,26.0,26.0,265.0,0.8833,104.0,98.0,0.9423,85.0,0.8173,83.0,0.7981
